name,pos,club,proj_score,ps26,bye,age,games25,category,smoky_note,adp,player_id,notes,manual_insight,avg_2025_blend,draft_score,best_pos,vorp_proxy,market_rank,expert_consensus_rank,expert_rank_count,expert_best_rank,expert_worst_rank,expert_rank_stddev,expert_percentile,data_relative_value,data_vs_next_pick,data_waiver_strength,data_projected,data_risk,data_dpp,data_b23,data_gm25,data_notes,pdf_notes,pdf_role_change,pdf_midfield_uplift,pdf_season_out,pdf_source_count,rankings_vorp,rankings_projected,rankings_avg_2026,rankings_avg_2025,rankings_variance,rankings_l5,rankings_max,rankings_cba_pct,rankings_bye_round,rankings_injury,ultimate_price,ultimate_priced_at,ultimate_avg_2025,ultimate_games_2025,ultimate_max_2025,ultimate_x100_2025,ultimate_x120_2025,ultimate_tog_pct,ultimate_cba_pct,ultimate_avg_2024,ultimate_games_2024,ultimate_avg_2023,ultimate_games_2023,projection_spread,projection_source_count,adp_value_gap,data_confidence,data_confidence_score,source_count,source_rankings_csv,source_ultimate_xlsx,source_expert_xlsx,source_data_csv,club_conflict,position_conflict,projection_conflict,bye_conflict,conflict_notes
Harry Sheezel,MID/FWD,NTH,109.2,127.0,12,21,23,premium,,2.0,1023518,"Role: Likely more mid time, 50% CBAS at least. Will score anywhere.",,109.2,160.18,FWD,41.0,1,1,4,1,1,0.0,1.0,38.9,0.0,0.5,108.9,Low,Yes,✔,23,"Role: Likely more mid time, 50% CBAS at least. Will score anywhere.",,1,1,0,2,44.8,109.2,109.2,112.1,-3.0,127.0,186.0,38.0,12,,,,109.2,23,186.0,17,4,86.0,0.38,112.1,21,97.3,23,0.3,3,1.0,high,0.97,4,1,1,1,1,0,0,0,0,
Nasiah Wanganeen-Milera,DEF,STK,110.8,108.8,16,23,23,premium,,1.0,1015507,Role: Likely inserted into midfield. Will score well anywhere.,,110.8,149.15,DEF,34.7,2,1,4,1,1,0.0,1.0,24.7,-0.2,0.8,103.8,Low,No,✔,23,Role: Likely inserted into midfield. Will score well anywhere.,,0,0,0,2,40.2,110.8,110.8,97.7,13.0,108.8,151.0,27.0,16,,,,110.8,23,151.0,17,7,83.0,0.27,97.7,22,91.3,23,7.0,3,-1.0,high,0.97,4,1,1,1,1,0,0,0,0,
Max Gawn,RUC,MEL,113.3,120.8,16,34,23,premium,,5.0,290528,Injury flag: Managed,,113.3,141.81,RUC,28.6,12,2.75,4,2,3,0.43,0.908,25.1,0.0,0.0,110.5,Medium,No,✔,23,,,0,0,0,2,24.8,113.3,113.3,111.8,2.0,120.8,158.0,86.0,16,Managed,,,113.3,23,158.0,17,10,86.0,0.85,111.8,21,92.1,20,2.8,3,-7.0,high,0.94,4,1,1,1,1,0,0,0,0,
Bailey Smith,MID,GEE,115.0,116.2,16,25,20,premium,,4.0,1006130,"Interrupted pre-season: Calf strain, Likely play Rd0. | PDF insight: 2026-Draft-Kit-gs7zws p49: For fantasy’s sake, Bailey Smith, Max Holmes and Gryan Miers went to another level, whilst there was a raft of solid players for your draft teams.",,116.3,140.68,MID,25.2,10,5,4,4,6,0.71,0.955,29.8,-4.9,1.2,109.2,Medium,No,✔,23,"Interrupted pre-season: Calf strain, Likely play Rd0.","2026-Draft-Kit-gs7zws p49: For fantasy’s sake, Bailey Smith, Max Holmes and Gryan Miers went to another level, whilst there was a raft of solid players for your draft teams.",0,1,0,2,27.9,115.0,115.0,,0.0,116.2,149.0,70.0,16,,,,116.3,20,149.0,16,10,83.0,0.71,0.0,0,83.3,19,7.1,3,-6.0,high,0.97,4,1,1,1,1,0,0,0,0,
Lachie Whitfield,DEF,GWS,105.2,110.0,13,31,22,premium,,8.0,294305,,,105.2,137.57,DEF,29.1,3,3.25,4,3,4,0.43,0.967,24.9,0.0,0.8,104.0,Low,No,✔,23,,,1,0,0,2,39.0,109.7,109.7,109.6,0.0,110.0,143.0,0.0,13,,,,105.2,22,143.0,15,5,78.0,0.0,111.7,23,94.7,21,5.7,3,5.0,high,0.94,4,1,1,1,1,0,0,0,0,
Tim English,RUC,WBD,110.7,118.4,16,28,23,premium,,9.0,1004592,,,110.7,136.19,RUC,26.0,20,1.75,4,1,2,0.43,0.961,22.9,-2.2,0.0,108.3,Low,No,✔,23,,,0,0,0,2,22.3,110.7,110.7,103.9,7.0,118.4,145.0,83.0,16,,,,110.7,23,145.0,16,8,83.0,0.83,104.6,22,118.7,23,2.4,3,-11.0,high,0.94,4,1,1,1,1,0,0,0,0,
Connor Rozee,DEF/MID,PTA,104.1,100.0,12,26,21,premium,,15.0,1001299,Role: scores better off half back. May play mid.,,104.1,135.69,DEF,28.0,5,2,4,2,2,0.0,0.986,24.9,0.0,0.8,104.0,Low,Yes,✔,21,Role: scores better off half back. May play mid.,,0,0,0,2,33.6,104.2,104.2,95.7,9.0,100.0,145.0,35.0,12,,,,104.1,21,145.0,14,6,86.0,0.35,97.1,20,105.9,23,0.2,3,10.0,high,0.89,4,1,1,1,1,1,0,0,0,"Club mismatch: ADE, PTA"
Marcus Bontempelli,MID,WBD,111.3,127.0,16,30,18,premium,,7.0,297373,,,111.3,132.63,MID,21.5,13,1.5,4,1,2,0.5,0.994,27.9,-6.8,1.4,107.3,Medium,No,✔,18,,,0,0,0,2,24.1,111.3,111.3,105.9,5.0,127.0,166.0,67.0,16,,,,111.3,18,166.0,13,8,81.0,0.67,107.3,23,117.0,23,4.0,3,-6.0,high,0.94,4,1,1,1,1,0,0,0,0,
Jordan Dawson,MID,ADE,110.2,114.4,12,28,23,premium,,12.0,992242,,,110.2,132.59,MID,20.4,22,2.75,4,1,4,1.09,0.98,34.7,0.0,0.8,114.1,Low,No,✔,25,,,0,0,0,2,21.7,108.9,108.9,105.3,4.0,114.4,147.0,75.0,12,,,,110.2,23,147.0,15,9,84.0,0.74,105.3,22,113.4,23,5.2,3,-10.0,high,0.94,4,1,1,1,1,0,0,0,0,
Dayne Zorko,DEF,BRL,101.5,86.8,15,37,23,premium,,26.0,261224,No word of any injuries. May be a safe pick for 2026 given age. | PDF insight: 2026-Draft-Kit-gs7zws p19: The Lions had 3 players average over 100 AF (one being the timeless Dayne Zorko) and 5 100+ SC scorers (with McCluggage going at a whopping 119).,,101.5,129.05,DEF,25.4,6,8,4,5,13,3.08,0.899,20.6,-4.3,1.3,99.7,Medium,No,✔,27,No word of any injuries. May be a safe pick for 2026 given age.,2026-Draft-Kit-gs7zws p19: The Lions had 3 players average over 100 AF (one being the timeless Dayne Zorko) and 5 100+ SC scorers (with McCluggage going at a whopping 119).,1,0,0,2,33.4,104.1,104.1,110.4,-6.0,86.8,137.0,,15,,,,101.5,23,137.0,14,6,84.0,0.0,110.3,23,84.8,17,4.4,3,20.0,high,0.97,4,1,1,1,1,0,0,0,0,
