"Action","Position","Player","Club","Relative Value","RV_info","vs. Next Pick","VNP_info","WaiverStr","WS_info","max_ws","PS_info","Av.25","Projected","ADP","Risk","DPP","ID_AFLFAN","Coach_name","position.field","pick","Coach_pick","B23","Gm.25","Notes"
"✓       ✕","MidFwd","Harry Sheezel","NTH","38.9","Mid: 29.5  Fwd: 38.9  Flex: 23.5  No Inj. Adjustment.","0","Mid: -5.2  Fwd: 0","0.5","Mid: 1.2  Fwd: 0.5","17.3","G1: 72","109.2","108.9","2","Low","Yes","1023518","","","","","✔","23","Role: Likely more mid time, 50% CBAS at least. Will score anywhere."
"✓       ✕","Mid","Jordan Dawson","ADE","34.7","Mid: 34.7  Flex: 28.7  No Inj. Adjustment.","0","","0.8","","17","G1: 48","108.9","114.1","12","Low","No","992242","","","","","✔","25",""
"✓       ✕","Mid","Errol Gulden","SYD","32.2","Mid: 32.2  Flex: 26.2  No Inj. Adjustment.","-2.5","","1","","16.8","G1: 111 Official: 23","102.3","111.6","14","Medium","No","1013128","","","","","✔","10","Role: outside/inside midfielder, always around the ball. Some injury impacted games in 2025, scoring should increase."
"✓       ✕","Fwd","Sam Flanders","STK","30","Fwd: 30  Flex: 14.6  No Inj. Adjustment.","-8.9","","1.5","","16.3","G1: 129","67.2","100","39","Low","No","1009260","","","","","✔","23","Role: Inside mid, will score well above 2026 average."
"✓       ✕","Mid","Bailey Smith","GEE","29.8","Mid: 29.8  Flex: 23.8  No Inj. Adjustment.","-4.9","","1.2","","16.6","","115","109.2","4","Medium","No","1006130","","","","","✔","23","Interrupted pre-season: Calf strain, Likely play Rd0."
"✓       ✕","Mid","Marcus Bontempelli","WBD","27.9","Mid: 27.9  Flex: 21.9  No Inj. Adjustment.","-6.8","","1.4","","16.4","Official: 102","111.3","107.3","7","Medium","No","297373","","","","","✔","18",""
"✓       ✕","Mid","Josh Dunkley","BRL","27.2","Mid: 27.2  Flex: 21.2  No Inj. Adjustment.","-7.5","","1.5","","16.3","G1: 54 Official: 103","108.4","106.6","10","Low","No","993834","","","","","✔","27","Interrupted pre-season: Shoulder and ankle."
"✓       ✕","Mid","Sam Walsh","CAR","25.8","Mid: 25.8  Flex: 19.8  No Inj. Adjustment.","-8.9","","1.7","","16.1","G1: 38 Official: 99","93.1","105.2","37","Low","No","1006094","","","","","✔","14","Scoring should increase if he remains healthy, could be 100+"
"✓       ✕","Mid","Nick Daicos","COL","25.4","Mid: 25.4  Flex: 19.4  No Inj. Adjustment.","-9.3","","1.8","","16","","106.9","104.8","3","Low","No","1023261","","","","","✔","25","Reports of possible leg niggle. Collingwood predicted to decline, may get fewer tags."
"✓       ✕","Ruck","Max Gawn","MEL","25.1","Ruck: 25.1  Flex: 25.1  No Inj. Adjustment.","0","","0","","17.8","Official: 43","113.3","110.5","5","Medium","No","290528","","","","","✔","23",""
"✓       ✕","DefMid","Connor Rozee","PTA","24.9","Def: 24.9  Mid: 24.6  Flex: 18.6  No Inj. Adjustment.","0","Def: 0  Mid: -10.1","0.8","Mid: 1.9  Def: 0.8","17","G1: 102","104.1","104","15","Low","Yes","1001299","","","","","✔","21","Role: scores better off half back. May play mid."
"✓       ✕","Def","Lachie Whitfield","GWS","24.9","Def: 24.9  Flex: 18.6  No Inj. Adjustment.","0","","0.8","","17","G1: 88 Official: 43","105.9","104","8","Low","No","294305","","","","","✔","23",""
"✓       ✕","Mid","Andrew Brayshaw","FRE","24.7","Mid: 24.7  Flex: 18.7  No Inj. Adjustment.","-10","","1.9","","15.9","G1: 57","101.6","104.1","25","Low","No","1002232","","","","","✔","24","Scoring dip due to Dockers game style, added tackles to make up for drop in marks. Could have more meat on the bone if the dockers score more overall. Additions of Jackson and Young may impact."
"✓       ✕","Def","Nasiah Wanganeen-Milera","STK","24.7","Def: 24.7  Flex: 18.4  No Inj. Adjustment.","-0.2","","0.8","","17","G1: 71","110.8","103.8","1","Low","No","1015507","","","","","✔","23","Role: Likely inserted into midfield. Will score well anywhere."
"✓       ✕","Ruck","Tim English","WBD","22.9","Ruck: 22.9  Flex: 22.9  No Inj. Adjustment.","-2.2","","0","","17.8","Official: 131","110.7","108.3","9","Low","No","1004592","","","","","✔","23",""
"✓       ✕","Mid","Zach Merrett","ESS","22.5","Mid: 22.5  Flex: 16.5  No Inj. Adjustment.","-12.2","","2.3","","15.5","","102.8","101.9","16","Low","No","992016","","","","","✔","22",""
"✓       ✕","Mid","Hugh McCluggage","BRL","22.4","Mid: 22.4  Flex: 16.4  No Inj. Adjustment.","-12.3","","2.3","","15.5","Official: 83","101.6","101.8","28","Low","No","1000978","","","","","✔","27",""
