name,position,age,gamesPlayed,averagePoints,totalPoints,last3Avg,last5Avg,adp,rosteredPercentage,projectedScoresAvg,byeRounds,K,H,M,T,FF,FA,G,B,HO,aboveAvgGames20,belowAvgGames20,consistencyRating,nextFiveVenuesAvg,favouriteVenue,nextFiveOpponentsAvg,favouriteOpponent,favouriteOpponentRound,startPercentage,highScore,lowScore,lastRound,roundRank,seasonRank,
Nasiah Wanganeen-Milera,DEF,23,23,110.8,2549,96.3,108.8,1,99.64,115.78,4&16,23.27,8,5.5,2.36,0.95,0.77,0.77,0.82,0,5,5,78,91.47,UTAS,97.9,MEL,1,0,151,73,0,0,0
Harry Sheezel,MID/FWD,21,23,109.2,2511,135.7,127,2,99.38,115.3,0&12,15.5,15.14,6.05,4.5,1.09,0.86,0.36,0.55,0,3,2,77,107.58,NOR,108.47,RIC,6&15,0,186,65,0,0,0
Tristan Xerri,RUC,26,20,105,2100,134,111.2,6,96.21,110.3,0&12,6.47,11.68,1.74,6.95,2.53,1.95,0.21,0,36.79,4,6,71,85.52,ES,90.67,RIC,6&15,0,165,58,0,0,0
Max Gawn,RUC,34,23,113.3,2605,122.7,120.8,5,98.6,108.65,0&16,10.77,10.91,5.95,2.27,2.5,1.68,0.27,0.68,37.55,3,5,84,106.39,CGOM,101.1,RIC,7&18,0,158,63,0,0,0
Bailey Smith,MID,25,20,116.3,2326,112.3,116.2,4,99.12,107.43,2&16,21.11,12.21,5.21,5.26,0.84,1.68,0.32,0.32,0,2,3,82,98.12,MCG,91.3,WB,6,0,149,70,0,0,0
Nick Daicos,MID,23,23,108.1,2487,99,107,3,99.43,107.35,2&14,17.68,14.09,4.41,3.91,1.82,1.36,0.73,0.86,0,8,7,75,106.31,PFS,102.55,WCE,11&22,0,162,60,0,0,0
Lachie Whitfield,DEF,31,22,105.2,2315,107.7,110,8,98.81,106.74,4&13,19.95,9.71,7.52,2.62,0.62,0.95,0,0.14,0,3,2,75,92.28,GMHBA,100.85,WCE,10&23,0,143,23,0,0,0
Josh Dunkley,MID,29,23,107.5,2473,119.7,116.8,10,97.46,106.26,2&15,12.55,13.73,4.86,7.91,1.73,0.77,0.23,0.32,0,5,4,81,99.9,NS,99.63,GC,13&23,0,137,75,0,0,0
Tim English,RUC,28,23,110.8,2548,120.7,118.4,9,97.4,105.48,3&16,10.55,8.09,6.41,3.5,2.14,1.09,0.59,0.68,31.68,3,2,84,89.31,OS,95.86,RIC,20,0,145,73,0,0,0
Jack Steele,MID,30,21,95.9,2013,102.7,75.8,17,89.56,104.26,0&16,8.85,13.05,4.35,9.15,1.2,1.4,0.2,0.15,0,4,4,70,95.44,NS,99.04,SYD,8,0,136,25,0,0,0
